Filename,ClassId
10970,12
07994,3
03018,11
11848,33
03291,7
08438,15
10595,7
11026,35
10532,38
07990,8
09861,7
09305,11
02639,13
04438,33
03266,8
02081,9
02154,38
06409,2
10349,10
10108,18
07538,8
05892,11
06793,2
05447,10
06864,5
03001,36
11941,5
08143,14
09558,12
10746,6
12469,9
03737,22
08960,42
05010,29
10102,17
10338,4
06914,3
01685,38
03459,35
01920,8
06872,36
07168,15
00382,38
04079,18
04328,9
11982,1
05448,15
01504,7
12494,38
11688,36
06668,42
11858,33
02715,16
08665,12
03504,12
10692,18
07419,7
09448,12
04833,23
09162,1
04615,33
06231,8
06688,38
06598,5
07596,36
08564,8
04733,12
01767,2
04808,4
11777,38
06113,11
10552,4
00416,10
03312,8
09213,23
10017,12
02960,14
02175,2
10722,4
06194,9
04549,18
10961,23
03403,14
04902,29
02469,1
03717,4
02186,14
11976,22
10646,13
05113,5
04105,9
04955,9
04273,25
09022,3
07581,13
10934,13
08932,38
04082,4
03828,7
00407,25
11593,18
00429,34
06594,10
00385,25
03835,20
12131,35
10750,1
09371,18
01461,3
09383,18
00849,23
05177,8
07827,28
07209,10
01203,4
06370,35
00419,2
00686,14
03253,15
04010,4
04714,11
00713,39
04921,38
05053,2
12179,17
02407,23
01453,4
12621,5
01875,38
07328,4
01022,11
10094,35
11736,23
04413,42
08095,3
00479,13
03974,12
08184,19
11481,32
07814,31
07447,8
04161,5
06852,38
05496,16
02077,7
01155,33
07050,10
07968,3
10480,18
10695,18
10877,2
01038,35
10493,2
09761,7
11677,14
01304,33
08869,39
03053,38
07176,10
09161,40
06984,5
07342,7
12470,29
04772,28
10133,31
11395,25
02071,12
08662,12
12537,28
06841,2
01518,16
09092,35
00750,10
05083,12
05728,13
12011,3
07331,26
03950,4
12417,4
02295,2
02691,10
12451,31
07625,31
11740,8
10572,22
06607,5
05543,14
06127,28
01867,33
03463,12
10471,2
02025,36
10307,5
01076,4
09627,28
04702,11
09576,13
09641,5
08896,15
04669,10
05190,14
06176,35
01810,12
10573,18
09821,25
04652,25
08402,12
12543,13
09664,14
01530,13
11051,7
00531,15
07891,12
09770,12
07778,7
06894,40
11614,14
05697,38
07451,7
05955,1
01364,16
08928,3
06024,25
07934,25
01278,5
02321,3
00618,10
01046,2
04587,24
03279,17
10404,7
10565,2
01178,5
05391,2
10295,10
01163,17
09510,1
04608,4
01755,5
09763,4
12516,13
08824,30
12169,1
02010,36
03749,31
08579,38
06375,36
07243,41
07086,5
05233,18
05591,4
01936,8
12040,36
01071,2
03461,1
08463,2
11131,31
07713,6
07648,2
05742,24
02478,12
09559,8
10150,10
09433,31
10196,33
02819,38
08563,28
09638,3
11177,18
09733,5
03450,8
02370,12
12000,2
01506,1
11187,12
07580,3
03040,13
06818,17
05132,39
09319,8
05855,10
10941,13
08717,13
05040,13
00934,1
06013,23
03325,14
07630,1
09025,9
12594,12
07887,10
08267,7
02304,17
12473,31
00542,5
02646,5
02861,4
01017,4
11151,10
11705,33
03513,38
12367,38
02421,8
08152,7
11455,31
06967,25
05211,38
01111,5
03827,12
09353,11
10248,35
10496,10
09413,27
00202,4
03706,35
04191,21
02885,25
05222,40
10898,16
09263,4
09685,7
11802,13
08800,8
05966,41
05421,7
04371,9
00467,13
00299,26
07341,33
12238,31
11464,35
01819,15
03858,4
12357,13
09506,11
03978,31
02548,9
10414,37
08465,25
02362,5
02652,25
05180,21
09441,17
04476,2
12118,12
05732,38
01528,12
04487,4
08809,9
